,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
fillingDate,2020-10-30,2019-10-31 00:00:00,2018-11-05 00:00:00,2017-11-03 00:00:00,2016-10-26 00:00:00,2015-10-28 00:00:00,2014-10-27 00:00:00,2013-10-30 00:00:00,2012-10-31 00:00:00,2011-10-26 00:00:00,2010-10-27 00:00:00,2009-10-27 00:00:00,2008-11-05 00:00:00,2007-11-15 00:00:00,2006-12-29,2005-12-01,2004-12-03,2003-12-19,2002-12-19 00:00:00,2001-12-21,2000-12-14 00:00:00,1999-12-22 00:00:00,,1997-12-05 00:00:00,1996-12-19 00:00:00,1995-12-19 00:00:00,1994-12-13 00:00:00
acceptedDate,2020-10-29 18:06:25,2019-10-30 18:12:36,2018-11-05 08:01:40,2017-11-03 08:01:37,2016-10-26 16:42:16,2015-10-28 16:31:09,2014-10-27 17:11:55,2013-10-29 20:38:28,2012-10-31 17:07:19,2011-10-26 16:35:25,2010-10-27 16:36:21,2009-10-27 16:18:29,2008-11-05 06:16:23,2007-11-15 16:49:37,2006-12-29 06:05:58,2005-11-30 21:22:48,2004-12-02 18:05:49,2003-12-19 17:25:45,2002-12-19 17:20:21,2001-12-21 00:00:00,2000-12-14 00:00:00,1999-12-22 00:00:00,,1997-12-05 00:00:00,1996-12-19 00:00:00,1995-12-19 00:00:00,1994-12-13 00:00:00
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
cashAndCashEquivalents,38016000000,48844000000,25913000000,20289000000,20484000000,21120000000,13844000000,14259000000,10746000000,9815000000,11261000000,5263000000,11875000000,9352000000,6392000000,3491000000,2969000000,3396000000,2252000000,2310000000,1191000000,1326000000,1481000000,1230000000,1552000000,756000000,1203000000
shortTermInvestments,52927000000,51713000000,40388000000,53892000000,46671000000,20481000000,11233000000,26287000000,18383000000,16137000000,14359000000,18201000000,12615000000,6034000000,3718000000,4770000000,2495000000,1170000000,2085000000,2026000000,2836000000,1900000000,819000000,229000000,193000000,196000000,54000000
cashAndShortTermInvestments,90943000000,100557000000,66301000000,74181000000,67155000000,41601000000,25077000000,40546000000,29129000000,25952000000,25620000000,23464000000,24490000000,15386000000,10110000000,8261000000,5464000000,4566000000,4337000000,4336000000,4027000000,3226000000,2300000000,1459000000,1745000000,952000000,1258000000
netReceivables,16120000000,45804000000,48995000000,35673000000,29299000000,30343000000,27219000000,20641000000,18692000000,11717000000,9924000000,5057000000,4704000000,4029000000,2845000000,1312000000,1050000000,766000000,565000000,466000000,953000000,681000000,955000000,1035000000,1496000000,1931000000,1581000000
inventory,4061000000,4106000000,3956000000,4855000000,2132000000,2349000000,2111000000,1764000000,791000000,776000000,1051000000,455000000,509000000,346000000,270000000,165000000,101000000,56000000,45000000,11000000,33000000,20000000,78000000,437000000,662000000,1775000000,1088000000
otherCurrentAssets,32589000000,12352000000,12087000000,13936000000,8283000000,15085000000,14124000000,10335000000,9041000000,6543000000,5083000000,2579000000,4987000000,2195000000,1284000000,562000000,440000000,499000000,441000000,330000000,414000000,358000000,365000000,493000000,612000000,566000000,549000000
totalCurrentAssets,143713000000,162819000000,131339000000,128645000000,106869000000,89378000000,68531000000,73286000000,57653000000,44988000000,41678000000,31555000000,34690000000,21956000000,14509000000,10300000000,7055000000,5887000000,5388000000,5143000000,5427000000,4285000000,3698000000,3424000000,4515000000,5224000000,4476000000
propertyPlantEquipmentNet,36766000000,37378000000,41304000000,33783000000,27010000000,22471000000,20624000000,16597000000,15452000000,7777000000,4768000000,2954000000,2455000000,1832000000,1281000000,817000000,707000000,669000000,621000000,564000000,313000000,318000000,348000000,486000000,598000000,711000000,667000000
goodwill,0.0,0.0,0.0,0.0,5414000000,5116000000,4616000000,1577000000,1135000000,896000000,741000000,206000000,207000000,38000000,38000000,69000000,80000000,85000000,85000000,66000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intangibleAssets,0.0,0.0,0.0,0.0,3206000000,3893000000,4142000000,4179000000,4224000000,3536000000,342000000,353000000,352000000,299000000,139000000,65000000,42000000,24000000,34000000,10000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goodwillAndIntangibleAssets,0.0,0.0,0.0,8015000000,8620000000,9009000000,8758000000,5756000000,5359000000,4432000000,1083000000,559000000,559000000,337000000,177000000,134000000,122000000,109000000,119000000,76000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longTermInvestments,100887000000,105341000000,170799000000,194714000000,170430000000,164065000000,130162000000,106215000000,92122000000,55618000000,25391000000,10528000000,0.0,0.0,0.0,0.0,0.0,0.0,39000000,128000000,786000000,339000000,0.0,0.0,0.0,0.0,0.0
taxAssets,0.0,0.0,0.0,31504000000,26019000000,24062000000,20259000000,16489000000,13847000000,8159000000,4300000000,2216000000,675000000,619000000,381000000,308000000,294000000,235000000,229000000,266000000,463000000,208000000,173000000,264000000,354000000,702000000,671000000
otherNonCurrentAssets,42522000000,32978000000,22283000000,18177000000,8757000000,5422000000,3764000000,5146000000,5478000000,3556000000,2263000000,1905000000,1868000000,1222000000,1238000000,300000000,166000000,150000000,131000000,110000000,277000000,219000000,243000000,323000000,251000000,296000000,159000000
totalNonCurrentAssets,180175000000,175697000000,234386000000,246674000000,214817000000,200967000000,163308000000,133714000000,118411000000,71383000000,33505000000,15946000000,4882000000,3391000000,2696000000,1251000000,995000000,928000000,910000000,878000000,1376000000,876000000,591000000,809000000,849000000,1007000000,827000000
