,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
fillingDate,2020-10-30,2019-10-31 00:00:00,2018-11-05 00:00:00,2017-11-03 00:00:00,2016-10-26 00:00:00,2015-10-28 00:00:00,2014-10-27 00:00:00,2013-10-30 00:00:00,2012-10-31 00:00:00,2011-10-26 00:00:00,2010-10-27 00:00:00,2009-10-27 00:00:00,2008-11-05 00:00:00,2007-11-15 00:00:00,2006-12-29,2005-12-01,2004-12-03,2003-12-19,2002-12-19 00:00:00,2001-12-21,2000-12-14 00:00:00,1999-12-22 00:00:00,,1997-12-05 00:00:00,1996-12-19 00:00:00,1995-12-19 00:00:00,1994-12-13 00:00:00
acceptedDate,2020-10-29 18:06:25,2019-10-30 18:12:36,2018-11-05 08:01:40,2017-11-03 08:01:37,2016-10-26 16:42:16,2015-10-28 16:31:09,2014-10-27 17:11:55,2013-10-29 20:38:28,2012-10-31 17:07:19,2011-10-26 16:35:25,2010-10-27 16:36:21,2009-10-27 16:18:29,2008-11-05 06:16:23,2007-11-15 16:49:37,2006-12-29 06:05:58,2005-11-30 21:22:48,2004-12-02 18:05:49,2003-12-19 17:25:45,2002-12-19 17:20:21,2001-12-21 00:00:00,2000-12-14 00:00:00,1999-12-22 00:00:00,,1997-12-05 00:00:00,1996-12-19 00:00:00,1995-12-19 00:00:00,1994-12-13 00:00:00
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
revenue,274515000000,260174000000,265595000000,229234000000,215639000000,233715000000,182795000000,170910000000,156508000000,108249000000,65225000000,42905000000,32479000000,24006000000,19315000000,13931000000,8279000000,6207000000,5742000000,5363000000,7983000000,6134000000,5941000000,7081000000,9833000000,11062000000,9189000000
costOfRevenue,169559000000,161782000000,163756000000,141048000000,131376000000,140089000000,112258000000,106606000000,87846000000,64431000000,39541000000,25683000000,21334000000,15852000000,13717000000,9888000000,6020000000,4499000000,4139000000,4128000000,5817000000,4438000000,4462000000,5713000000,8865000000,8204000000,6845000000
grossProfit,104956000000,98392000000,101839000000,88186000000,84263000000,93626000000,70537000000,64304000000,68662000000,43818000000,25684000000,17222000000,11145000000,8154000000,5598000000,4043000000,2259000000,1708000000,1603000000,1235000000,2166000000,1696000000,1479000000,1368000000,968000000,2858000000,2344000000
grossProfitRatio,0.382332477278109,0.378178,0.383437,0.384699,0.39076,0.400599,0.38588,0.376245,0.438712,0.404789,0.393775,0.401398,0.343145,0.339665,0.289827,0.290216,0.272859,0.275173,0.279171,0.230282,0.271327,0.276492,0.248948,0.193193,0.098444,0.258362,0.255088
researchAndDevelopmentExpenses,18752000000,16217000000,14236000000,11581000000,10045000000,8067000000,6041000000,4475000000,3381000000,2429000000,1782000000,1333000000,1109000000,782000000,712000000,534000000,489000000,471000000,446000000,430000000,380000000,314000000,303000000,485000000,604000000,614000000,564000000
generalAndAdministrativeExpenses,19916000000,18245000000,16705000000,15261000000,14194000000,14329000000,11993000000,10830000000,10040000000,7599000000,5517000000,4149000000,3761000000,2963000000,2433000000,1859000000,1421000000,1212000000,1109000000,1138000000,1256000000,996000000,908000000,1286000000,1568000000,1583000000,1384000000
sellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otherExpenses,803000000,1807000000,2005000000,2745000000,1348000000,1285000000,980000000,1156000000,522000000,415000000,155000000,326000000,620000000,599000000,165000000,165000000,23000000,26000000,29000000,11000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
operatingExpenses,38668000000,34462000000,30941000000,26842000000,24239000000,22396000000,18034000000,15305000000,13421000000,10028000000,7299000000,5482000000,4870000000,3745000000,3145000000,2393000000,1933000000,1709000000,1586000000,1579000000,1644000000,1337000000,1218000000,2438000000,2351000000,2174000000,1821000000
costAndExpenses,208227000000,196244000000,194697000000,167890000000,155615000000,162485000000,130292000000,121911000000,101267000000,74459000000,46840000000,31165000000,26204000000,19597000000,16862000000,12281000000,7953000000,6208000000,5725000000,5707000000,7461000000,5775000000,5680000000,8151000000,11216000000,10378000000,8666000000
interestExpense,0.0,3576000000,3240000000,2323000000,1456000000,733000000,384000000,136000000,1088000000,519000000,311000000,407000000,653000000,647000000,394000000,183000000,66000000,92000000,65000000,277000000,556000000,327000000,78000000,11000000,0.0,52000000,4000000.0
depreciationAndAmortization,11056000000,12547000000,10903000000,10157000000,10505000000,11257000000,7946000000,6757000000,3277000000,1814000000,1027000000,734000000,473000000,317000000,225000000,179000000,150000000,113000000,114000000,100000000,84000000,85000000,111000000,118000000,156000000,127000000,168000000
ebitda,77344000000,81860000000,85546000000,76569000000,73333000000,84505000000,61813000000,57048000000,60128000000,36538000000,19878000000,13207000000,8021000000,5972000000,3437000000,2177000000,599000000,298000000,266000000,337000000,1732000000,1088000000,518000000,-916000000,-1139000000,853000000,672000000
ebitdaratio,0.281747809773601,0.314636,0.322092,0.334021,0.340073,0.361573,0.338155,0.33379,0.384185,0.337537,0.30476,0.30782,0.24696,0.248771,0.177945,0.15627,0.072352,0.04801,0.046325,0.062838,0.216961,0.177372,0.087191,-0.12936,-0.115834,0.077111,0.073131
