,Country,Sector,Industry,Net_Income_Ratio,Operating_Income_Ratio,Gross_Profit_Ratio,EPS,Working_Capital,ROE,PE_Ratio,PB_Ratio,Current_Ratio,Debt_To_Equity,Debt_To_Asset,Dividend_Yield,Market_Capital,Net_Income_Ratio_Ranking,Operating_Income_Ratio_Ranking,Gross_Profit_Ratio_Ranking,EPS_Ranking,Working_Capital_Ranking,ROE_Ranking,PE_Ratio_Ranking,PB_Ratio_Ranking,Current_Ratio_Ranking,Debt_To_Equity_Ranking,Debt_To_Asset_Ranking,Dividend_Yield_Ranking,Market_Capital_Ranking
XBIT,US,Healthcare,Biotechnology,66862.9,-3123.3,1.0,14.43516,656073000.0,0.8848617910064569,1317.5415457002316,1165.8421718537222,11.900033228110981,0.08105278899356962,0.07497579194909393,,880946486160.0,1,4543,8,91,677,169,4535,4391,190,452,208,2359,179
PFIS,US,Financial Services,Banks Regional,1118.9565217391305,1256.1304347826087,1.0,3.47999,-146958000.0,0.08607069997658941,13543.554646044451,1165.7032285562354,0.03412421952021032,7.278408748871275,0.8792038385231526,2.9065553858741917e-05,348556922370.6,2,1,8,755,3567,1936,4608,4390,3997,4283,4076,2240,275
NRBO,US,Healthcare,Biotechnology,968.727272727,917.090909091,1.0,-4.07949,12036000.0,-1.7338106085258704,-5699.604667088964,9882.03503620241,6.780979827089337,0.17702570777741622,0.15040088471108654,,121469974665.00002,3,3,8,4535,2662,4546,153,4643,421,661,419,2359,445
TBBK,US,Financial Services,Banks Regional,687.453333333,966.586666667,1.0,0.8992,,0.10641758359700886,12.911531912954091,1.3740140267122396,0.0,10.675950521881456,0.914353867967671,,665705673.9,4,2,8,2019,4157,1565,2808,1953,4175,4576,4372,2359,2811
SFNC,US,Financial Services,Banks Regional,89.2345447733,89.2345447733,1.0,2.41067,,0.0796831903387306,10.033806511397465,0.7995257140696785,0.0,6.112640870092381,0.8594052450750249,0.02689016165050136,2389721595.3999996,5,7,8,1112,4157,2044,2484,968,4175,4125,3917,1126,1971
BST,US,Financial Services,Asset Management,76.862772,-1.302945,-1.585201,9.56304,,0.29469677253814713,3.4854306711735976,1.0271451697003273,0.0,0.015655413849719187,0.015414099739181453,0.09710611511572247,762831464.442,6,4111,3687,158,4157,443,2003,1413,4175,304,58,299,2727
FCNCA,US,Financial Services,Banks Regional,72.6446950445,94.0355781449,1.0,41.0527,,0.1275369585051966,13.108370586198076,1.6718017155226836,0.0,10.10497843947773,0.9099502979271853,0.0030251583876950527,5995388563.38,7,5,8,35,4157,1261,2832,2239,4175,4551,4348,2066,1382
MYT,CN,Consumer Cyclical,Restaurants,68.578283,-5.069585,0.411015,15.26178,7603610.0,3.0109081531971063,0.030140661880194982,0.09075076459783629,5.486752661269384,0.18517308484495518,0.1562413855096782,,830539.2000000001,8,4277,2016,83,2783,72,1874,341,562,682,441,2359,4738
CVBF,US,Financial Services,Banks Regional,65.7056591843,92.0246601328,1.0,1.48518,-9104268000.0,0.10422105633725123,13883.539907653963,1446.9571948760795,0.017091354048516513,4.657921526424478,0.8232566508160905,3.3046664031169753e-05,2885374448388.0,9,6,8,1627,4078,1617,4614,4436,4047,3942,3733,2233,93
SBFG,US,Financial Services,Banks Regional,58.12135922330097,71.02912621359224,1.0,1.50888,-845038000.0,0.08797595779387776,0.019695121673765973,0.0017326971931165224,0.05283168174782245,6.631320998721472,0.8689610881042041,13.913762301096396,235809.6918,10,9,8,1618,3797,1909,1870,282,3968,4194,3986,23,4749
